,Time,Open_buy,High_buy,Low_buy,Close_buy,Vol_buy,Open_sell,High_sell,Low_sell,Close_sell,Vol_sell
0,31500,1648400,1648500,1648200,1648300,52,1648700,1648700,1648500,1648700,52
1,31501,1648300,1649000,1648300,1649000,136,1648700,1649500,1648700,1649300,136
2,31502,1648800,1649400,1648900,1649300,87,1649300,1649600,1649300,1649400,87
3,31503,1649300,1649300,1649000,1649100,78,1649400,1649500,1649400,1649500,78
4,31504,1649100,1649300,1648900,1649100,85,1649400,1649400,1649300,1649400,85
5,31505,1649100,1649100,1648900,1648900,100,1649400,1649400,1649100,1649100,100
6,31506,1648900,1649200,1648800,1649200,101,1649100,1649400,1649100,1649300,101
7,31507,1649000,1649100,1648900,1649100,74,1649300,1649400,1649200,1649300,74
8,31508,1649100,1649400,1649000,1649100,94,1649300,1649500,1649300,1649400,94
9,31509,1649100,1649400,1649100,1649400,66,1649400,1649600,1649400,1649600,66
10,31510,1649400,1649400,1649200,1649300,73,1649600,1649600,1649400,1649600,73
11,31511,1649400,1649400,1649400,1649400,36,1649600,1649600,1649500,1649600,36
12,31512,1649400,1649700,1649400,1649600,60,1649600,1649900,1649600,1649900,60
13,31513,1649600,1649700,1649600,1649600,35,1649900,1649900,1649800,1649900,35
14,31514,1649600,1649800,1649600,1649700,46,1649900,1649900,1649900,1649900,46
15,31515,1649700,1650200,1649700,1650200,99,1649900,1650400,1649900,1650400,99
16,31516,1650200,1650200,1650100,1650200,81,1650500,1650500,1650200,1650300,81
17,31517,1650200,1650200,1650100,1650200,97,1650300,1650400,1650300,1650400,97
18,31518,1650200,1650300,1650200,1650200,50,1650400,1650500,1650300,1650400,50
19,31519,1650200,1650200,1650100,1650100,62,1650400,1650400,1650200,1650200,62
20,31520,1650100,1650100,1650100,1650100,15,1650200,1650200,1650200,1650200,15
21,31521,1650100,1650200,1650000,1650100,86,1650200,1650400,1650200,1650400,86
22,31522,1650100,1650200,1650100,1650200,65,1650400,1650400,1650300,1650300,65
23,31523,1650200,1650300,1650200,1650300,32,1650300,1650400,1650300,1650400,32
24,31524,1650300,1650300,1650300,1650300,23,1650400,1650400,1650400,1650400,23
25,31525,1650300,1650300,1650300,1650300,21,1650400,1650400,1650400,1650400,21
26,31526,1650300,1650300,1650300,1650300,19,1650400,1650400,1650400,1650400,19
27,31527,1650300,1650300,1650200,1650200,36,1650400,1650500,1650400,1650500,36
28,31528,1650200,1650200,1650200,1650200,43,1650500,1650500,1650300,1650300,43
29,31529,1650200,1650200,1650100,1650100,70,1650400,1650500,1650300,1650300,70
30,31530,1650100,1650100,1650000,1650000,44,1650300,1650300,1650200,1650200,44
31,31531,1650000,1650000,1649900,1649900,52,1650200,1650200,1650000,1650100,52
